formula,problem,predicted_tree,predicted_tree_prefix,refinement_type,time,relabed_predicted_tree,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,input_dimension,sample_times,bag_number
???,1030_ERA,((0.3199120840923392 add (0.5425845286018594 mul sin((0.7420834529426581 add (90.97322477525508 mul (-1.8914901483765447 add (0.2789259951400725 mul x_2))))))) sub (((4.233740260621945 add (-1.6688556577807767 add (0.26168549933840324 mul x_1))) mul (0.010056673136598773 add (0.002027507078242834 mul (-1.6862731466150453 add (0.21704219323172885 mul x_0))))) mul (-88.73743769469867 add (-4.97078361719662 mul (-1.393959058795963 add (0.21776073611684485 mul x_3)))))),"sub,add,0.3199120840923392,mul,0.5425845286018594,sin,add,0.7420834529426581,mul,90.97322477525508,add,-1.8914901483765447,mul,0.2789259951400725,x_2,mul,mul,add,4.233740260621945,add,-1.6688556577807767,mul,0.26168549933840324,x_1,add,0.010056673136598773,mul,0.002027507078242834,add,-1.6862731466150453,mul,0.21704219323172885,x_0,add,-88.73743769469867,mul,-4.97078361719662,add,-1.393959058795963,mul,0.21776073611684485,x_3",BFGS,112.6349037,((0.3199120840923392 add (0.5425845286018594 mul sin((0.7420834529426581 add (90.97322477525508 mul (-1.8914901483765447 add (0.2789259951400725 mul x_2))))))) sub (((4.233740260621945 add (-1.6688556577807767 add (0.26168549933840324 mul x_1))) mul (0.010056673136598773 add (0.002027507078242834 mul (-1.6862731466150453 add (0.21704219323172885 mul x_0))))) mul (-88.73743769469867 add (-4.97078361719662 mul (-1.393959058795963 add (0.21776073611684485 mul x_3)))))),0.369044572,0,0,0,0,42,0.427135318,0,0,0,0,42,4,91,2
???,1096_FacultySalaries,(((0.029899330611821515 mul (-0.5669467095138409 add (2.3307809168902347 mul x_0))) add (41.021924400092466 add ((0.5764612471329336 add (1.164970597934145 mul (-10.495163394931009 add (0.18429082748407302 mul x_1)))) mul (1.334777877688159 add (1.2826461882475868 mul sin((1.2258526047093703 add (16.718971177354224 mul (-8.63397658042975 add (0.11939823171839319 mul x_2)))))))))) add (0.5219244000925369 add (1.5075519127623116 mul (-12.955075817500841 add (0.25743860150330067 mul x_3))))),"add,add,mul,0.029899330611821515,add,-0.5669467095138409,mul,2.3307809168902347,x_0,add,41.021924400092466,mul,add,0.5764612471329336,mul,1.164970597934145,add,-10.495163394931009,mul,0.18429082748407302,x_1,add,1.334777877688159,mul,1.2826461882475868,sin,add,1.2258526047093703,mul,16.718971177354224,add,-8.63397658042975,mul,0.11939823171839319,x_2,add,0.5219244000925369,mul,1.5075519127623116,add,-12.955075817500841,mul,0.25743860150330067,x_3",BFGS,229.9041309,(((0.029899330611821515 mul (-0.5669467095138409 add (2.3307809168902347 mul x_0))) add (41.021924400092466 add ((0.5764612471329336 add (1.164970597934145 mul (-10.495163394931009 add (0.18429082748407302 mul x_1)))) mul (1.334777877688159 add (1.2826461882475868 mul sin((1.2258526047093703 add (16.718971177354224 mul (-8.63397658042975 add (0.11939823171839319 mul x_2)))))))))) add (0.5219244000925369 add (1.5075519127623116 mul (-12.955075817500841 add (0.25743860150330067 mul x_3))))),0.886244134,0,0,0,1,44,0.593725668,0,0,0,0,44,4,99,2
???,1199_BNG_echoMonths,((((-3.456403830407181 add (-0.523941332648293 mul (-5.898181195509467 add (1.2350529775540893 mul x_5)))) sub (3.5564038323056035 add (-0.0005274170014819157 mul abs((((-165.51861998088643 add (-2.688759104741512 add (0.18365531669921792 mul x_6))) add (-163.5186199971417 add (399.7355171447031 mul (-0.4968544154460465 add (2.5095164124261053 mul x_2))))) mul ((-797.5985541634661 add (-1.1402230966663074 mul cos((101.49103784277094 mul (-3.0889759583825582 add (2.1826589117460924 mul x_7)))))) add (((-32.28585913789198 add (-0.7060158469582802 add (2.1224146492065414 mul x_0))) mul (0.5676618753252061 add (0.00048060718318405557 mul (-2.0257963824577003 add (9.090718149289069 mul x_3))))) mul (-50.617011505826966 add (0.5332213691975772 mul (-0.49899957024252767 add (2.503009312202771 mul x_8))))))))))) sub (3.256403831465697 add (0.8117907200709368 mul (-1.6451741504391226 add (0.13812868006218965 mul x_4))))) sub (3.3464038321001923 add (-7.611362720795644 add (0.12135280979888914 mul x_1)))),"sub,sub,sub,add,-3.456403830407181,mul,-0.523941332648293,add,-5.898181195509467,mul,1.2350529775540893,x_5,add,3.5564038323056035,mul,-0.0005274170014819157,abs,mul,add,add,-165.51861998088643,add,-2.688759104741512,mul,0.18365531669921792,x_6,add,-163.5186199971417,mul,399.7355171447031,add,-0.4968544154460465,mul,2.5095164124261053,x_2,add,add,-797.5985541634661,mul,-1.1402230966663074,cos,mul,101.49103784277094,add,-3.0889759583825582,mul,2.1826589117460924,x_7,mul,mul,add,-32.28585913789198,add,-0.7060158469582802,mul,2.1224146492065414,x_0,add,0.5676618753252061,mul,0.00048060718318405557,add,-2.0257963824577003,mul,9.090718149289069,x_3,add,-50.617011505826966,mul,0.5332213691975772,add,-0.49899957024252767,mul,2.503009312202771,x_8,add,3.256403831465697,mul,0.8117907200709368,add,-1.6451741504391226,mul,0.13812868006218965,x_4,add,3.3464038321001923,add,-7.611362720795644,mul,0.12135280979888914,x_1",BFGS,703.3893704,((((-3.456403830407181 add (-0.523941332648293 mul (-5.898181195509467 add (1.2350529775540893 mul x_5)))) sub (3.5564038323056035 add (-0.0005274170014819157 mul abs((((-165.51861998088643 add (-2.688759104741512 add (0.18365531669921792 mul x_6))) add (-163.5186199971417 add (399.7355171447031 mul (-0.4968544154460465 add (2.5095164124261053 mul x_2))))) mul ((-797.5985541634661 add (-1.1402230966663074 mul cos((101.49103784277094 mul (-3.0889759583825582 add (2.1826589117460924 mul x_7)))))) add (((-32.28585913789198 add (-0.7060158469582802 add (2.1224146492065414 mul x_0))) mul (0.5676618753252061 add (0.00048060718318405557 mul (-2.0257963824577003 add (9.090718149289069 mul x_3))))) mul (-50.617011505826966 add (0.5332213691975772 mul (-0.49899957024252767 add (2.503009312202771 mul x_8))))))))))) sub (3.256403831465697 add (0.8117907200709368 mul (-1.6451741504391226 add (0.13812868006218965 mul x_4))))) sub (3.3464038321001923 add (-7.611362720795644 add (0.12135280979888914 mul x_1)))),0.432187687,0,0,0,0,91,0.445246566,0,0,0,0,91,9,203,7
???,192_vineyard,((((-0.3403181990717222 add (-1.6900570315847114 add (0.5492685352650312 mul x_0))) mul (0.6557355616404166 add (0.07011466399946492 mul (-4.533300387982352 add (0.4739911933815328 mul x_1))))) mul (4.76964765236558 add (-4.124732948634628 mul (-4.533300387982352 add (0.4739911933815328 mul x_1))))) sub (-21.13398957040979 add (0.5567219404368029 mul tan((0.25536076639309013 add (-99.08516350696446 mul (-1.6900570315847114 add (0.5492685352650312 mul x_0)))))))),"sub,mul,mul,add,-0.3403181990717222,add,-1.6900570315847114,mul,0.5492685352650312,x_0,add,0.6557355616404166,mul,0.07011466399946492,add,-4.533300387982352,mul,0.4739911933815328,x_1,add,4.76964765236558,mul,-4.124732948634628,add,-4.533300387982352,mul,0.4739911933815328,x_1,add,-21.13398957040979,mul,0.5567219404368029,tan,add,0.25536076639309013,mul,-99.08516350696446,add,-1.6900570315847114,mul,0.5492685352650312,x_0",BFGS,189.172013,((((-0.3403181990717222 add (-1.6900570315847114 add (0.5492685352650312 mul x_0))) mul (0.6557355616404166 add (0.07011466399946492 mul (-4.533300387982352 add (0.4739911933815328 mul x_1))))) mul (4.76964765236558 add (-4.124732948634628 mul (-4.533300387982352 add (0.4739911933815328 mul x_1))))) sub (-21.13398957040979 add (0.5567219404368029 mul tan((0.25536076639309013 add (-99.08516350696446 mul (-1.6900570315847114 add (0.5492685352650312 mul x_0)))))))),0.77602243,0,0,0,0,42,0.694672472,0,0,0,0,42,2,91,2
???,218_house_8L,(((71.670809009417 add abs(((65.83948274815562 add (22.54562228365099 mul (-8.032021795516059 add (16.59367107154301 mul x_2)))) sub (24.150517272349934 add (2.396549401603033 mul (-1.482929355264917 add (3.0169310498904913 mul x_7))))))) sub (18.319190988451503 add (-2.193866531760927 mul (-8.203422447998147 add (11.453142006382262 mul x_3))))) mul (220.9366740167641 add (0.6486446325156485 mul abs(((-164.76799569495776 add (-11.889934454379345 mul (-1.2369347194439706 add (7.20103972119662 mul x_5)))) add (((1.5377090626069878 add (-0.2507556323070785 add (24.58695339050966 mul x_1))) mul (6.70263351585028 add (-0.0009185095948718038 mul tan((2.4770231598029633 add (-6.572861766040325 mul (-0.41460912751711115 add (7.186392288449512 mul x_4)))))))) mul ((58.36400152030992 add (-1.8502810245095467 mul (-0.10843049068666293 add (3.5767852117512264e-05 mul x_0)))) sub (1.6459984633786802 add (-29.149355982856807 mul (-7.913019619130077 add (1.323260006241501 mul x_6))))))))))),"mul,sub,add,71.670809009417,abs,sub,add,65.83948274815562,mul,22.54562228365099,add,-8.032021795516059,mul,16.59367107154301,x_2,add,24.150517272349934,mul,2.396549401603033,add,-1.482929355264917,mul,3.0169310498904913,x_7,add,18.319190988451503,mul,-2.193866531760927,add,-8.203422447998147,mul,11.453142006382262,x_3,add,220.9366740167641,mul,0.6486446325156485,abs,add,add,-164.76799569495776,mul,-11.889934454379345,add,-1.2369347194439706,mul,7.20103972119662,x_5,mul,mul,add,1.5377090626069878,add,-0.2507556323070785,mul,24.58695339050966,x_1,add,6.70263351585028,mul,-0.0009185095948718038,tan,add,2.4770231598029633,mul,-6.572861766040325,add,-0.41460912751711115,mul,7.186392288449512,x_4,sub,add,58.36400152030992,mul,-1.8502810245095467,add,-0.10843049068666293,mul,3.5767852117512264e-05,x_0,add,1.6459984633786802,mul,-29.149355982856807,add,-7.913019619130077,mul,1.323260006241501,x_6",BFGS,760.0061157,(((71.670809009417 add abs(((65.83948274815562 add (22.54562228365099 mul (-8.032021795516059 add (16.59367107154301 mul x_2)))) sub (24.150517272349934 add (2.396549401603033 mul (-1.482929355264917 add (3.0169310498904913 mul x_7))))))) sub (18.319190988451503 add (-2.193866531760927 mul (-8.203422447998147 add (11.453142006382262 mul x_3))))) mul (220.9366740167641 add (0.6486446325156485 mul abs(((-164.76799569495776 add (-11.889934454379345 mul (-1.2369347194439706 add (7.20103972119662 mul x_5)))) add (((1.5377090626069878 add (-0.2507556323070785 add (24.58695339050966 mul x_1))) mul (6.70263351585028 add (-0.0009185095948718038 mul tan((2.4770231598029633 add (-6.572861766040325 mul (-0.41460912751711115 add (7.186392288449512 mul x_4)))))))) mul ((58.36400152030992 add (-1.8502810245095467 mul (-0.10843049068666293 add (3.5767852117512264e-05 mul x_0)))) sub (1.6459984633786802 add (-29.149355982856807 mul (-7.913019619130077 add (1.323260006241501 mul x_6))))))))))),0.484378093,0,0,0,0,90,0.384685426,0,0,0,0,90,8,199,7
???,225_puma8NH,(((0.06333090467842345 add (-0.009606564315321977 mul sin((1.1301226840692855 add (-0.01967280353467015 add (0.9153652737289864 mul x_1)))))) mul (-402.659153756028 add (-94.32280439521085 mul sin(((0.2540584406260386 add (-1.1309837627916064 mul (-0.01967280353467015 add (0.9153652737289864 mul x_1)))) add ((0.23405844063001793 add (-1.2479095980307977 mul (0.01085968215005518 add (0.9235399140846772 mul x_2)))) add (-0.35594155937264443 add (0.02158851907093367 mul (-9.361347734152755e-05 add (0.9129415775234283 mul x_3)))))))))) sub (-23.355539865124783 add (-1.1773471750772435 mul arctan((36.14989411931238 add (-36.11603530444511 mul sin((((-0.03695562994941905 mul (-0.001717021528905659 add (0.9242117326528791 mul x_0))) mul ((50.4741963648393 add (55.95770431769261 mul (-0.00432698473455279 add (0.920420267737534 mul x_5)))) sub (-49.84419636578795 add (47.782504318784646 mul (-0.013304861464588471 add (2.900800952020297 mul x_7)))))) add ((-1.7990547967429604 add (-5.794314169213316 mul (0.011550786078658816 add (0.91982138114521 mul x_4)))) add (-1.769054796705579 add (-7.695106944823003 mul (-0.00991014281244564 add (2.9122088136186095 mul x_6))))))))))))),"sub,mul,add,0.06333090467842345,mul,-0.009606564315321977,sin,add,1.1301226840692855,add,-0.01967280353467015,mul,0.9153652737289864,x_1,add,-402.659153756028,mul,-94.32280439521085,sin,add,add,0.2540584406260386,mul,-1.1309837627916064,add,-0.01967280353467015,mul,0.9153652737289864,x_1,add,add,0.23405844063001793,mul,-1.2479095980307977,add,0.01085968215005518,mul,0.9235399140846772,x_2,add,-0.35594155937264443,mul,0.02158851907093367,add,-9.361347734152755e-05,mul,0.9129415775234283,x_3,add,-23.355539865124783,mul,-1.1773471750772435,arctan,add,36.14989411931238,mul,-36.11603530444511,sin,add,mul,mul,-0.03695562994941905,add,-0.001717021528905659,mul,0.9242117326528791,x_0,sub,add,50.4741963648393,mul,55.95770431769261,add,-0.00432698473455279,mul,0.920420267737534,x_5,add,-49.84419636578795,mul,47.782504318784646,add,-0.013304861464588471,mul,2.900800952020297,x_7,add,add,-1.7990547967429604,mul,-5.794314169213316,add,0.011550786078658816,mul,0.91982138114521,x_4,add,-1.769054796705579,mul,-7.695106944823003,add,-0.00991014281244564,mul,2.9122088136186095,x_6",BFGS,1010.906537,(((0.06333090467842345 add (-0.009606564315321977 mul sin((1.1301226840692855 add (-0.01967280353467015 add (0.9153652737289864 mul x_1)))))) mul (-402.659153756028 add (-94.32280439521085 mul sin(((0.2540584406260386 add (-1.1309837627916064 mul (-0.01967280353467015 add (0.9153652737289864 mul x_1)))) add ((0.23405844063001793 add (-1.2479095980307977 mul (0.01085968215005518 add (0.9235399140846772 mul x_2)))) add (-0.35594155937264443 add (0.02158851907093367 mul (-9.361347734152755e-05 add (0.9129415775234283 mul x_3)))))))))) sub (-23.355539865124783 add (-1.1773471750772435 mul arctan((36.14989411931238 add (-36.11603530444511 mul sin((((-0.03695562994941905 mul (-0.001717021528905659 add (0.9242117326528791 mul x_0))) mul ((50.4741963648393 add (55.95770431769261 mul (-0.00432698473455279 add (0.920420267737534 mul x_5)))) sub (-49.84419636578795 add (47.782504318784646 mul (-0.013304861464588471 add (2.900800952020297 mul x_7)))))) add ((-1.7990547967429604 add (-5.794314169213316 mul (0.011550786078658816 add (0.91982138114521 mul x_4)))) add (-1.769054796705579 add (-7.695106944823003 mul (-0.00991014281244564 add (2.9122088136186095 mul x_6))))))))))))),0.678917162,0,0,0,0,105,0.685659767,0,0,0,0,105,8,255,7
???,228_elusage,((21.253981874823054 add (1.6175823825677125 mul (-1.6597145241471603 add (0.30243686884459364 mul x_1)))) sub (((-0.23961340568495818 add (-3.758274697923185 add (0.0665324968112481 mul x_0))) sub (1.0396134056849722 add (-0.5414814692220042 mul cos((-0.02157480719499926 add (-9.55592894884584 mul (-3.758274697923185 add (0.0665324968112481 mul x_0)))))))) mul (8.614443301537438 add (-6.968719658189226 mul (-3.758274697923185 add (0.0665324968112481 mul x_0)))))),"sub,add,21.253981874823054,mul,1.6175823825677125,add,-1.6597145241471603,mul,0.30243686884459364,x_1,mul,sub,add,-0.23961340568495818,add,-3.758274697923185,mul,0.0665324968112481,x_0,add,1.0396134056849722,mul,-0.5414814692220042,cos,add,-0.02157480719499926,mul,-9.55592894884584,add,-3.758274697923185,mul,0.0665324968112481,x_0,add,8.614443301537438,mul,-6.968719658189226,add,-3.758274697923185,mul,0.0665324968112481,x_0",BFGS,180.8209586,((21.253981874823054 add (1.6175823825677125 mul (-1.6597145241471603 add (0.30243686884459364 mul x_1)))) sub (((-0.23961340568495818 add (-3.758274697923185 add (0.0665324968112481 mul x_0))) sub (1.0396134056849722 add (-0.5414814692220042 mul cos((-0.02157480719499926 add (-9.55592894884584 mul (-3.758274697923185 add (0.0665324968112481 mul x_0)))))))) mul (8.614443301537438 add (-6.968719658189226 mul (-3.758274697923185 add (0.0665324968112481 mul x_0)))))),0.857199304,0,0,0,0,42,0.746921952,0,0,0,0,42,2,91,2
???,230_machine_cpu,(((1.8294457940109288 add (-1.1282135865330982 add (9.149484799449129e-05 mul x_2))) add (-0.17155420555438894 add (0.2899045204575052 mul (-0.6426400020542741 add (0.023926453537104236 mul x_3))))) mul ((93.8399381408632 add (1.694664794790452 mul (-0.6838919253552521 add (0.13470598529724664 mul x_4)))) add ((43.83693798381077 add (243.47879835795143 mul sin((-2.325357280747401 add (-0.004560728748717992 mul tan((1.941567244066869 add (8.333717431551737 mul (-0.7591785483647308 add (0.0002579787519820204 mul x_1)))))))))) add (((-1.1982786141327029 mul (-0.7805596755037978 add (0.004271338199052632 mul x_0))) sub (-43.82993791537821 add (-19.693468362840633 mul (-0.7591785483647308 add (0.0002579787519820204 mul x_1))))) add (43.849937789429056 add (8.888191865628128 mul (-0.7458460534333183 add (0.03868084585624922 mul x_5)))))))),"mul,add,add,1.8294457940109288,add,-1.1282135865330982,mul,9.149484799449129e-05,x_2,add,-0.17155420555438894,mul,0.2899045204575052,add,-0.6426400020542741,mul,0.023926453537104236,x_3,add,add,93.8399381408632,mul,1.694664794790452,add,-0.6838919253552521,mul,0.13470598529724664,x_4,add,add,43.83693798381077,mul,243.47879835795143,sin,add,-2.325357280747401,mul,-0.004560728748717992,tan,add,1.941567244066869,mul,8.333717431551737,add,-0.7591785483647308,mul,0.0002579787519820204,x_1,add,sub,mul,-1.1982786141327029,add,-0.7805596755037978,mul,0.004271338199052632,x_0,add,-43.82993791537821,mul,-19.693468362840633,add,-0.7591785483647308,mul,0.0002579787519820204,x_1,add,43.849937789429056,mul,8.888191865628128,add,-0.7458460534333183,mul,0.03868084585624922,x_5",BFGS,614.2982879,(((1.8294457940109288 add (-1.1282135865330982 add (9.149484799449129e-05 mul x_2))) add (-0.17155420555438894 add (0.2899045204575052 mul (-0.6426400020542741 add (0.023926453537104236 mul x_3))))) mul ((93.8399381408632 add (1.694664794790452 mul (-0.6838919253552521 add (0.13470598529724664 mul x_4)))) add ((43.83693798381077 add (243.47879835795143 mul sin((-2.325357280747401 add (-0.004560728748717992 mul tan((1.941567244066869 add (8.333717431551737 mul (-0.7591785483647308 add (0.0002579787519820204 mul x_1)))))))))) add (((-1.1982786141327029 mul (-0.7805596755037978 add (0.004271338199052632 mul x_0))) sub (-43.82993791537821 add (-19.693468362840633 mul (-0.7591785483647308 add (0.0002579787519820204 mul x_1))))) add (43.849937789429056 add (8.888191865628128 mul (-0.7458460534333183 add (0.03868084585624922 mul x_5)))))))),0.963822159,0,0,0,0,75,0.93140864,0,0,0,0,75,6,259,2
???,522_pm10,((3.4352657024121265 add (0.3418898512249523 mul (-6.367397656262014 add (0.907211060648355 mul x_0)))) sub (((0.17116820453287981 mul sin((((0.23518203203474575 add (-1.8595524482219257 add (0.14808497941881973 mul x_5))) mul (0.49335512305968876 add (-0.7197948037641426 mul (-0.1617226939746989 add (1.0090850260580406 mul x_3))))) mul (-5.8687955218298375 add (1.1836930116339877 mul (-1.6524652223659155 add (0.011786350671632504 mul x_4))))))) sub (-0.16473429758786728 add (-0.2083147515454048 mul (-1.7086208267902125 add (0.5199487230035416 mul x_2))))) add (0.08473429758786687 add (-0.400917598011618 mul sin(((0.045197304676405335 add (7.018651234706053 mul (-1.510192522259429 add (0.004999798672604913 mul x_6)))) add (-0.04480269532359457 add (-0.6676080555801841 mul (-0.12245963316410526 add (0.15498603685034404 mul x_1)))))))))),"sub,add,3.4352657024121265,mul,0.3418898512249523,add,-6.367397656262014,mul,0.907211060648355,x_0,add,sub,mul,0.17116820453287981,sin,mul,mul,add,0.23518203203474575,add,-1.8595524482219257,mul,0.14808497941881973,x_5,add,0.49335512305968876,mul,-0.7197948037641426,add,-0.1617226939746989,mul,1.0090850260580406,x_3,add,-5.8687955218298375,mul,1.1836930116339877,add,-1.6524652223659155,mul,0.011786350671632504,x_4,add,-0.16473429758786728,mul,-0.2083147515454048,add,-1.7086208267902125,mul,0.5199487230035416,x_2,add,0.08473429758786687,mul,-0.400917598011618,sin,add,add,0.045197304676405335,mul,7.018651234706053,add,-1.510192522259429,mul,0.004999798672604913,x_6,add,-0.04480269532359457,mul,-0.6676080555801841,add,-0.12245963316410526,mul,0.15498603685034404,x_1",BFGS,387.8790853,((3.4352657024121265 add (0.3418898512249523 mul (-6.367397656262014 add (0.907211060648355 mul x_0)))) sub (((0.17116820453287981 mul sin((((0.23518203203474575 add (-1.8595524482219257 add (0.14808497941881973 mul x_5))) mul (0.49335512305968876 add (-0.7197948037641426 mul (-0.1617226939746989 add (1.0090850260580406 mul x_3))))) mul (-5.8687955218298375 add (1.1836930116339877 mul (-1.6524652223659155 add (0.011786350671632504 mul x_4))))))) sub (-0.16473429758786728 add (-0.2083147515454048 mul (-1.7086208267902125 add (0.5199487230035416 mul x_2))))) add (0.08473429758786687 add (-0.400917598011618 mul sin(((0.045197304676405335 add (7.018651234706053 mul (-1.510192522259429 add (0.004999798672604913 mul x_6)))) add (-0.04480269532359457 add (-0.6676080555801841 mul (-0.12245963316410526 add (0.15498603685034404 mul x_1)))))))))),0.283073481,0,0,0,0,75,0.168641834,0,0,0,0,75,7,161,2
???,529_pollen,(((0.14484359416650147 mul sin((-11.159288926188092 mul (0.0023236298586767107 add (0.09933261143285968 mul x_3))))) add (0.013958772349394829 add (-5.305820433269763 mul (-0.004729785714742862 add (0.15614694077561161 mul x_0))))) add (((-3.7962343210179217 mul (0.0023236298586767107 add (0.09933261143285968 mul x_3))) add (-0.0060412276506046 add (1.1614729142625726 mul (-0.00463112090444595 add (0.19372918774388082 mul x_1))))) add (-0.006041227650604244 add (-0.17880542397699983 mul (0.0034537332011728527 add (0.12649160218391714 mul x_2)))))),"add,add,mul,0.14484359416650147,sin,mul,-11.159288926188092,add,0.0023236298586767107,mul,0.09933261143285968,x_3,add,0.013958772349394829,mul,-5.305820433269763,add,-0.004729785714742862,mul,0.15614694077561161,x_0,add,add,mul,-3.7962343210179217,add,0.0023236298586767107,mul,0.09933261143285968,x_3,add,-0.0060412276506046,mul,1.1614729142625726,add,-0.00463112090444595,mul,0.19372918774388082,x_1,add,-0.006041227650604244,mul,-0.17880542397699983,add,0.0034537332011728527,mul,0.12649160218391714,x_2",BFGS,121.3687594,(((0.14484359416650147 mul sin((-11.159288926188092 mul (0.0023236298586767107 add (0.09933261143285968 mul x_3))))) add (0.013958772349394829 add (-5.305820433269763 mul (-0.004729785714742862 add (0.15614694077561161 mul x_0))))) add (((-3.7962343210179217 mul (0.0023236298586767107 add (0.09933261143285968 mul x_3))) add (-0.0060412276506046 add (1.1614729142625726 mul (-0.00463112090444595 add (0.19372918774388082 mul x_1))))) add (-0.006041227650604244 add (-0.17880542397699983 mul (0.0034537332011728527 add (0.12649160218391714 mul x_2)))))),0.789939556,0,0,0,0,48,0.799181807,0,0,0,0,48,4,95,8
