formula,problem,target_noise,predicted_tree,predicted_tree_prefix,refinement_type,time,relabed_predicted_tree,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,input_dimension,num_evals
mom*sqrt(Bx**2+By**2+Bz**2),feynman_III_10_19,0,((((2.765206866244636 add (-0.5369137218240929 mul (-2.5894441972514755 add (0.8651948944088768 mul x_1)))) sub (-8.565206866242194 add (-1.5652068662434526 add (-0.03186300526921508 mul (-2.597743620640179 add (0.866131562297373 mul x_2)))))) sub (((((-7.416750925240168 add (-2.600175072883718 add (0.8680448285076832 mul x_3))) sub (7.477750925243555 add (0.967211474152405 mul (-2.597743620640179 add (0.866131562297373 mul x_2))))) mul (-0.9489722623049552 add (0.16725727843790908 mul (-2.5894441972514755 add (0.8651948944088768 mul x_1))))) mul (0.06255145175615051 add (-0.008003536368624633 mul (-2.597743620640179 add (0.866131562297373 mul x_2))))) mul (9.461155629134735 add (0.4220100673389412 mul (-2.5894441972514755 add (0.8651948944088768 mul x_1)))))) mul (3.50479413450489 add (1.3481061599838031 mul (-2.6001885706296823 add (0.8655688419897772 mul x_0))))),"mul,sub,sub,add,2.765206866244636,mul,-0.5369137218240929,add,-2.5894441972514755,mul,0.8651948944088768,x_1,add,-8.565206866242194,add,-1.5652068662434526,mul,-0.03186300526921508,add,-2.597743620640179,mul,0.866131562297373,x_2,mul,mul,mul,sub,add,-7.416750925240168,add,-2.600175072883718,mul,0.8680448285076832,x_3,add,7.477750925243555,mul,0.967211474152405,add,-2.597743620640179,mul,0.866131562297373,x_2,add,-0.9489722623049552,mul,0.16725727843790908,add,-2.5894441972514755,mul,0.8651948944088768,x_1,add,0.06255145175615051,mul,-0.008003536368624633,add,-2.597743620640179,mul,0.866131562297373,x_2,add,9.461155629134735,mul,0.4220100673389412,add,-2.5894441972514755,mul,0.8651948944088768,x_1,add,3.50479413450489,mul,1.3481061599838031,add,-2.6001885706296823,mul,0.8655688419897772,x_0",BFGS,345.7602701,((((2.765206866244636 add (-0.5369137218240929 mul (-2.5894441972514755 add (0.8651948944088768 mul x_1)))) sub (-8.565206866242194 add (-1.5652068662434526 add (-0.03186300526921508 mul (-2.597743620640179 add (0.866131562297373 mul x_2)))))) sub (((((-7.416750925240168 add (-2.600175072883718 add (0.8680448285076832 mul x_3))) sub (7.477750925243555 add (0.967211474152405 mul (-2.597743620640179 add (0.866131562297373 mul x_2))))) mul (-0.9489722623049552 add (0.16725727843790908 mul (-2.5894441972514755 add (0.8651948944088768 mul x_1))))) mul (0.06255145175615051 add (-0.008003536368624633 mul (-2.597743620640179 add (0.866131562297373 mul x_2))))) mul (9.461155629134735 add (0.4220100673389412 mul (-2.5894441972514755 add (0.8651948944088768 mul x_1)))))) mul (3.50479413450489 add (1.3481061599838031 mul (-2.6001885706296823 add (0.8655688419897772 mul x_0))))),0.998753918,1,0,0,1,79,0.998704232,1,0,0,1,79,4,161
n*(h/(2*pi)),feynman_III_12_43,0,((0.018028194776212238 add (0.006944899620052862 mul (-2.5958899017552453 add (0.8675291259135787 mul x_1)))) mul (79.1998451523424 add (30.661258327907312 mul (-2.583059180824328 add (0.8615492701804625 mul x_0))))),"mul,add,0.018028194776212238,mul,0.006944899620052862,add,-2.5958899017552453,mul,0.8675291259135787,x_1,add,79.1998451523424,mul,30.661258327907312,add,-2.583059180824328,mul,0.8615492701804625,x_0",BFGS,33.77607274,((0.018028194776212238 add (0.006944899620052862 mul (-2.5958899017552453 add (0.8675291259135787 mul x_1)))) mul (79.1998451523424 add (30.661258327907312 mul (-2.583059180824328 add (0.8615492701804625 mul x_0))))),1,1,1,1,1,19,1,1,1,1,1,19,2,41
2*E_n*d**2*k/(h/(2*pi)),feynman_III_13_18,0,(((3.176277807706975e-12 add inv((2.602238878215315 add (-2.6022388782256796 add (0.8650848638440835 mul x_3))))) mul (((2.5969763619971857 add (-2.597009031586551 add (0.865304019070074 mul x_1))) mul (0.22157631238682163 add (0.08530017470863038 mul (-2.5976067826743656 add (0.867502731268041 mul x_2))))) mul (18.26723379799012 add (7.033978414725386 mul (-2.596998842041985 add (0.8644016866042467 mul x_0)))))) mul (83.805524904997 add (32.269610779977825 mul (-2.597009031586551 add (0.865304019070074 mul x_1))))),"mul,mul,add,3.176277807706975e-12,inv,add,2.602238878215315,add,-2.6022388782256796,mul,0.8650848638440835,x_3,mul,mul,add,2.5969763619971857,add,-2.597009031586551,mul,0.865304019070074,x_1,add,0.22157631238682163,mul,0.08530017470863038,add,-2.5976067826743656,mul,0.867502731268041,x_2,add,18.26723379799012,mul,7.033978414725386,add,-2.596998842041985,mul,0.8644016866042467,x_0,add,83.805524904997,mul,32.269610779977825,add,-2.597009031586551,mul,0.865304019070074,x_1",BFGS,139.3756986,(((3.176277807706975e-12 add inv((2.602238878215315 add (-2.6022388782256796 add (0.8650848638440835 mul x_3))))) mul (((2.5969763619971857 add (-2.597009031586551 add (0.865304019070074 mul x_1))) mul (0.22157631238682163 add (0.08530017470863038 mul (-2.5976067826743656 add (0.867502731268041 mul x_2))))) mul (18.26723379799012 add (7.033978414725386 mul (-2.596998842041985 add (0.8644016866042467 mul x_0)))))) mul (83.805524904997 add (32.269610779977825 mul (-2.597009031586551 add (0.865304019070074 mul x_1))))),1,1,1,1,1,48,1,1,1,1,1,48,4,95
I_0*(exp(q*Volt/(kb*T))-1),feynman_III_14_14,0,((-21.292719267282994 add exp((3.1295594158293008 add (0.026272271793554708 mul (-2.604452138504303 add (0.8675235970496074 mul x_0)))))) sub ((-0.0007109124282347342 add (0.5409758465463483 mul exp((5.331931305547264 add (((((0.013575719293904782 add (-0.0017310936745150783 mul (-5.197910723434599 add (3.464894050330782 mul x_2)))) mul (-96.67764277047515 add (33.65820257752677 mul (-5.197910723434599 add (3.464894050330782 mul x_2))))) sub (7.0785907535980215 add (1.6999068210420463 mul (-5.197006244936187 add (3.463525750566672 mul x_3))))) add (-7.175590754463857 add (0.28328230630211004 mul (-5.199281504756583 add (3.467043722469896 mul x_1))))) mul (0.5918551300621062 add (-0.03699952424759441 mul (-5.197006244936187 add (3.463525750566672 mul x_3))))))))) mul ((((-0.055270848077452445 add (-2.604452138504303 add (0.8675235970496074 mul x_0))) sub (-2.654729151900318 add (-0.01124956648670655 mul (-5.197910723434599 add (3.464894050330782 mul x_2))))) mul (-1.8296767138974206 add (6.0601767360908365 mul inv(((2.0718582294874417 add (0.3014032717757667 mul (-5.198088835057929 add (3.4626381396599446 mul x_4)))) add (-1.1281417701458718 add (-0.03630765940647816 mul (-5.197910723434599 add (3.464894050330782 mul x_2))))))))) mul (-26.770836697296065 add (-7.398798240077021 mul (-5.199281504756583 add (3.467043722469896 mul x_1))))))),"sub,add,-21.292719267282994,exp,add,3.1295594158293008,mul,0.026272271793554708,add,-2.604452138504303,mul,0.8675235970496074,x_0,mul,add,-0.0007109124282347342,mul,0.5409758465463483,exp,add,5.331931305547264,mul,add,sub,mul,add,0.013575719293904782,mul,-0.0017310936745150783,add,-5.197910723434599,mul,3.464894050330782,x_2,add,-96.67764277047515,mul,33.65820257752677,add,-5.197910723434599,mul,3.464894050330782,x_2,add,7.0785907535980215,mul,1.6999068210420463,add,-5.197006244936187,mul,3.463525750566672,x_3,add,-7.175590754463857,mul,0.28328230630211004,add,-5.199281504756583,mul,3.467043722469896,x_1,add,0.5918551300621062,mul,-0.03699952424759441,add,-5.197006244936187,mul,3.463525750566672,x_3,mul,mul,sub,add,-0.055270848077452445,add,-2.604452138504303,mul,0.8675235970496074,x_0,add,-2.654729151900318,mul,-0.01124956648670655,add,-5.197910723434599,mul,3.464894050330782,x_2,add,-1.8296767138974206,mul,6.0601767360908365,inv,add,add,2.0718582294874417,mul,0.3014032717757667,add,-5.198088835057929,mul,3.4626381396599446,x_4,add,-1.1281417701458718,mul,-0.03630765940647816,add,-5.197910723434599,mul,3.464894050330782,x_2,add,-26.770836697296065,mul,-7.398798240077021,add,-5.199281504756583,mul,3.467043722469896,x_1",BFGS,709.6103668,((-21.292719267282994 add exp((3.1295594158293008 add (0.026272271793554708 mul (-2.604452138504303 add (0.8675235970496074 mul x_0)))))) sub ((-0.0007109124282347342 add (0.5409758465463483 mul exp((5.331931305547264 add (((((0.013575719293904782 add (-0.0017310936745150783 mul (-5.197910723434599 add (3.464894050330782 mul x_2)))) mul (-96.67764277047515 add (33.65820257752677 mul (-5.197910723434599 add (3.464894050330782 mul x_2))))) sub (7.0785907535980215 add (1.6999068210420463 mul (-5.197006244936187 add (3.463525750566672 mul x_3))))) add (-7.175590754463857 add (0.28328230630211004 mul (-5.199281504756583 add (3.467043722469896 mul x_1))))) mul (0.5918551300621062 add (-0.03699952424759441 mul (-5.197006244936187 add (3.463525750566672 mul x_3))))))))) mul ((((-0.055270848077452445 add (-2.604452138504303 add (0.8675235970496074 mul x_0))) sub (-2.654729151900318 add (-0.01124956648670655 mul (-5.197910723434599 add (3.464894050330782 mul x_2))))) mul (-1.8296767138974206 add (6.0601767360908365 mul inv(((2.0718582294874417 add (0.3014032717757667 mul (-5.198088835057929 add (3.4626381396599446 mul x_4)))) add (-1.1281417701458718 add (-0.03630765940647816 mul (-5.197910723434599 add (3.464894050330782 mul x_2))))))))) mul (-26.770836697296065 add (-7.398798240077021 mul (-5.199281504756583 add (3.467043722469896 mul x_1))))))),0.995201548,0,0,0,0,122,0.996125215,0,0,0,0,122,5,266
2*U*(1-cos(k*d)),feynman_III_15_12,0,((0.06961719177600094 add (0.026786969480665366 mul (-2.5989199985236895 add (0.8644600725906404 mul x_0)))) mul (86.36971138106907 add (86.36971180381657 mul sin(((0.9411565278453377 add (-4.3552569787028595e-09 mul (-2.5989199985236895 add (0.8644600725906404 mul x_0)))) add (((0.06047964840794984 mul (-2.6061839162426637 add (0.8665712253954498 mul x_1))) mul (-57.37342262999216 add (-22.0695170205922 mul (-2.5996682357273664 add (0.8645570319287044 mul x_2))))) add (1.0111565278455694 add (-3.4786212719752223 mul (-2.5996682357273664 add (0.8645570319287044 mul x_2)))))))))),"mul,add,0.06961719177600094,mul,0.026786969480665366,add,-2.5989199985236895,mul,0.8644600725906404,x_0,add,86.36971138106907,mul,86.36971180381657,sin,add,add,0.9411565278453377,mul,-4.3552569787028595e-09,add,-2.5989199985236895,mul,0.8644600725906404,x_0,add,mul,mul,0.06047964840794984,add,-2.6061839162426637,mul,0.8665712253954498,x_1,add,-57.37342262999216,mul,-22.0695170205922,add,-2.5996682357273664,mul,0.8645570319287044,x_2,add,1.0111565278455694,mul,-3.4786212719752223,add,-2.5996682357273664,mul,0.8645570319287044,x_2",BFGS,181.2407401,((0.06961719177600094 add (0.026786969480665366 mul (-2.5989199985236895 add (0.8644600725906404 mul x_0)))) mul (86.36971138106907 add (86.36971180381657 mul sin(((0.9411565278453377 add (-4.3552569787028595e-09 mul (-2.5989199985236895 add (0.8644600725906404 mul x_0)))) add (((0.06047964840794984 mul (-2.6061839162426637 add (0.8665712253954498 mul x_1))) mul (-57.37342262999216 add (-22.0695170205922 mul (-2.5996682357273664 add (0.8645570319287044 mul x_2))))) add (1.0111565278455694 add (-3.4786212719752223 mul (-2.5996682357273664 add (0.8645570319287044 mul x_2)))))))))),1,1,1,1,1,52,1,1,1,1,1,52,3,111
(h/(2*pi))**2/(2*E_n*d**2),feynman_III_15_14,0,((((-0.002995693679196604 add inv((2.400025948028837 add (-2.5920464405260724 add (0.8659079458921237 mul x_2))))) mul (0.009665558022718769 add (0.003834904363639921 mul (-2.5953162142169606 add (0.8661539369953987 mul x_0))))) mul (0.009071613106623275 add (0.0033879446249200054 mul (-2.5953162142169606 add (0.8661539369953987 mul x_0))))) mul (-0.030000012025652247 add (0.899990529399336 mul inv(((0.2001892903832785 add (0.06958005231371474 mul (-2.5920464405260724 add (0.8659079458921237 mul x_2)))) mul (0.03832086790588601 add (0.014772565690986388 mul (-2.5930143694863244 add (0.8650769998372377 mul x_1))))))))),"mul,mul,mul,add,-0.002995693679196604,inv,add,2.400025948028837,add,-2.5920464405260724,mul,0.8659079458921237,x_2,add,0.009665558022718769,mul,0.003834904363639921,add,-2.5953162142169606,mul,0.8661539369953987,x_0,add,0.009071613106623275,mul,0.0033879446249200054,add,-2.5953162142169606,mul,0.8661539369953987,x_0,add,-0.030000012025652247,mul,0.899990529399336,inv,mul,add,0.2001892903832785,mul,0.06958005231371474,add,-2.5920464405260724,mul,0.8659079458921237,x_2,add,0.03832086790588601,mul,0.014772565690986388,add,-2.5930143694863244,mul,0.8650769998372377,x_1",BFGS,237.8924532,((((-0.002995693679196604 add inv((2.400025948028837 add (-2.5920464405260724 add (0.8659079458921237 mul x_2))))) mul (0.009665558022718769 add (0.003834904363639921 mul (-2.5953162142169606 add (0.8661539369953987 mul x_0))))) mul (0.009071613106623275 add (0.0033879446249200054 mul (-2.5953162142169606 add (0.8661539369953987 mul x_0))))) mul (-0.030000012025652247 add (0.899990529399336 mul inv(((0.2001892903832785 add (0.06958005231371474 mul (-2.5920464405260724 add (0.8659079458921237 mul x_2)))) mul (0.03832086790588601 add (0.014772565690986388 mul (-2.5930143694863244 add (0.8650769998372377 mul x_1))))))))),0.999992854,1,0,1,1,55,0.999992736,1,0,1,1,55,3,121
2*pi*alpha/(n*d),feynman_III_15_27,0,((4.064625466655855e-08 add (-0.6355219781026435 mul inv(((0.037632123052619926 add (0.0144970993481427 mul (-2.5958381085169187 add (0.8658757703666266 mul x_1)))) mul (1.9824605065328242 add (0.7662086722041611 mul (-2.5873636922793515 add (0.8652777005764741 mul x_2)))))))) mul (-0.24617583440684063 add (-0.09502289227273963 mul (-2.5907002958448975 add (0.8658852311796555 mul x_0))))),"mul,add,4.064625466655855e-08,mul,-0.6355219781026435,inv,mul,add,0.037632123052619926,mul,0.0144970993481427,add,-2.5958381085169187,mul,0.8658757703666266,x_1,add,1.9824605065328242,mul,0.7662086722041611,add,-2.5873636922793515,mul,0.8652777005764741,x_2,add,-0.24617583440684063,mul,-0.09502289227273963,add,-2.5907002958448975,mul,0.8658852311796555,x_0",BFGS,121.2395091,((4.064625466655855e-08 add (-0.6355219781026435 mul inv(((0.037632123052619926 add (0.0144970993481427 mul (-2.5958381085169187 add (0.8658757703666266 mul x_1)))) mul (1.9824605065328242 add (0.7662086722041611 mul (-2.5873636922793515 add (0.8652777005764741 mul x_2)))))))) mul (-0.24617583440684063 add (-0.09502289227273963 mul (-2.5907002958448975 add (0.8658852311796555 mul x_0))))),1,1,1,1,1,34,1,1,1,1,1,34,3,79
beta*(1+alpha*cos(theta)),feynman_III_17_37,0,((-0.15782384197559504 add (3.658835184773544e-09 mul (-2.5869971752701773 add (0.8622903183815899 mul x_2)))) mul ((1.431191384058237 add ((-0.6588086159664285 add (-2.5990711432131004 add (0.8666084050826369 mul x_1))) sub ((0.0682531561101052 add (-1.3905017560224282e-08 mul (-2.5990711432131004 add (0.8666084050826369 mul x_1)))) mul ((1.44236665824359 add (-3.040306068453023 mul cos(((0.10102308645120209 add (-1.1597023204756332 mul (-2.5869971752701773 add (0.8622903183815899 mul x_2)))) sub (-0.04042308644909349 add (-6.675942214696749e-08 mul (-2.588889085443102 add (0.8643162112771269 mul x_0)))))))) mul (26.400956027561453 add (10.157848715713754 mul (-2.5990711432131004 add (0.8666084050826369 mul x_1)))))))) mul (10.389717316831762 add (4.013195383227158 mul (-2.588889085443102 add (0.8643162112771269 mul x_0)))))),"mul,add,-0.15782384197559504,mul,3.658835184773544e-09,add,-2.5869971752701773,mul,0.8622903183815899,x_2,mul,add,1.431191384058237,sub,add,-0.6588086159664285,add,-2.5990711432131004,mul,0.8666084050826369,x_1,mul,add,0.0682531561101052,mul,-1.3905017560224282e-08,add,-2.5990711432131004,mul,0.8666084050826369,x_1,mul,add,1.44236665824359,mul,-3.040306068453023,cos,sub,add,0.10102308645120209,mul,-1.1597023204756332,add,-2.5869971752701773,mul,0.8622903183815899,x_2,add,-0.04042308644909349,mul,-6.675942214696749e-08,add,-2.588889085443102,mul,0.8643162112771269,x_0,add,26.400956027561453,mul,10.157848715713754,add,-2.5990711432131004,mul,0.8666084050826369,x_1,add,10.389717316831762,mul,4.013195383227158,add,-2.588889085443102,mul,0.8643162112771269,x_0",BFGS,296.2005343,((-0.15782384197559504 add (3.658835184773544e-09 mul (-2.5869971752701773 add (0.8622903183815899 mul x_2)))) mul ((1.431191384058237 add ((-0.6588086159664285 add (-2.5990711432131004 add (0.8666084050826369 mul x_1))) sub ((0.0682531561101052 add (-1.3905017560224282e-08 mul (-2.5990711432131004 add (0.8666084050826369 mul x_1)))) mul ((1.44236665824359 add (-3.040306068453023 mul cos(((0.10102308645120209 add (-1.1597023204756332 mul (-2.5869971752701773 add (0.8622903183815899 mul x_2)))) sub (-0.04042308644909349 add (-6.675942214696749e-08 mul (-2.588889085443102 add (0.8643162112771269 mul x_0)))))))) mul (26.400956027561453 add (10.157848715713754 mul (-2.5990711432131004 add (0.8666084050826369 mul x_1)))))))) mul (10.389717316831762 add (4.013195383227158 mul (-2.588889085443102 add (0.8643162112771269 mul x_0)))))),1,1,1,1,1,74,1,1,1,1,1,74,3,159
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),feynman_III_19_51,0,(0.03444679582430756 add (-3.655833945825144e-05 mul (((2.7188429324973065 add (-2.4849982227712726 mul (-2.6018127630357215 add (0.8679509853181296 mul x_1)))) sub (((1.488953963565786 add (-2.6018127630357215 add (0.8679509853181296 mul x_1))) mul (0.7553205112175645 add (0.0925927447974836 mul (-2.5849234094632494 add (0.8643672535183858 mul x_0))))) mul (-3.7110503576170557 add (-0.15061552435716904 mul inv((((-2.0317427860252417 add sqrt((7.02888218579724 add (-2.60005001189945 add (0.865693819996256 mul x_3))))) mul (0.002081405768325035 add (0.00068494981408526 mul (-2.603844264843972 add (0.8663358699622921 mul x_2))))) mul (20.007388150919137 add (6.613334242209362 mul (-2.5992926776936285 add (0.8661122484227948 mul x_4)))))))))))**3)),"add,0.03444679582430756,mul,-3.655833945825144e-05,pow3,sub,add,2.7188429324973065,mul,-2.4849982227712726,add,-2.6018127630357215,mul,0.8679509853181296,x_1,mul,mul,add,1.488953963565786,add,-2.6018127630357215,mul,0.8679509853181296,x_1,add,0.7553205112175645,mul,0.0925927447974836,add,-2.5849234094632494,mul,0.8643672535183858,x_0,add,-3.7110503576170557,mul,-0.15061552435716904,inv,mul,mul,add,-2.0317427860252417,sqrt,add,7.02888218579724,add,-2.60005001189945,mul,0.865693819996256,x_3,add,0.002081405768325035,mul,0.00068494981408526,add,-2.603844264843972,mul,0.8663358699622921,x_2,add,20.007388150919137,mul,6.613334242209362,add,-2.5992926776936285,mul,0.8661122484227948,x_4",BFGS,446.5506704,(0.03444679582430756 add (-3.655833945825144e-05 mul (((2.7188429324973065 add (-2.4849982227712726 mul (-2.6018127630357215 add (0.8679509853181296 mul x_1)))) sub (((1.488953963565786 add (-2.6018127630357215 add (0.8679509853181296 mul x_1))) mul (0.7553205112175645 add (0.0925927447974836 mul (-2.5849234094632494 add (0.8643672535183858 mul x_0))))) mul (-3.7110503576170557 add (-0.15061552435716904 mul inv((((-2.0317427860252417 add sqrt((7.02888218579724 add (-2.60005001189945 add (0.865693819996256 mul x_3))))) mul (0.002081405768325035 add (0.00068494981408526 mul (-2.603844264843972 add (0.8663358699622921 mul x_2))))) mul (20.007388150919137 add (6.613334242209362 mul (-2.5992926776936285 add (0.8661122484227948 mul x_4)))))))))))**3)),0.99471598,0,0,0,0,68,0.994442679,0,0,0,0,68,5,151
#NAME?,feynman_III_21_20,0,((-8.520496607112002e-09 add (7.719607317025294 mul inv((2.603716285678461 add (-2.6037162826258013 add (0.8668931643386877 mul x_3)))))) mul (((2.5940667185639956 add (-2.594066719313494 add (0.8648087462168479 mul x_1))) mul (0.02123173986029437 add (0.008141353903288571 mul (-2.607888087490774 add (0.8699256511997685 mul x_0))))) mul (-54.972330404873 add (-21.237692072174724 mul (-2.588432403993925 add (0.8633049018002514 mul x_2)))))),"mul,add,-8.520496607112002e-09,mul,7.719607317025294,inv,add,2.603716285678461,add,-2.6037162826258013,mul,0.8668931643386877,x_3,mul,mul,add,2.5940667185639956,add,-2.594066719313494,mul,0.8648087462168479,x_1,add,0.02123173986029437,mul,0.008141353903288571,add,-2.607888087490774,mul,0.8699256511997685,x_0,add,-54.972330404873,mul,-21.237692072174724,add,-2.588432403993925,mul,0.8633049018002514,x_2",BFGS,145.9543612,((-8.520496607112002e-09 add (7.719607317025294 mul inv((2.603716285678461 add (-2.6037162826258013 add (0.8668931643386877 mul x_3)))))) mul (((2.5940667185639956 add (-2.594066719313494 add (0.8648087462168479 mul x_1))) mul (0.02123173986029437 add (0.008141353903288571 mul (-2.607888087490774 add (0.8699256511997685 mul x_0))))) mul (-54.972330404873 add (-21.237692072174724 mul (-2.588432403993925 add (0.8633049018002514 mul x_2)))))),1,1,1,1,1,40,1,1,1,1,1,40,4,83
